director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Roseanne Liang,Chloë Grace Moretz,Taylor John Smith,Beulah Koale,Horror Action War,shadow in the cloud,Chloë Grace Moretz Taylor John Smith Beulah Koale Roseanne Liang Horror Action War
Anthony Leone,Amy Cay,Brian Patrick Butler,Michael C. Burgess,Adventure Family TV Movie Western,hacksaw,Amy Cay Brian Patrick Butler Michael C. Burgess Anthony Leone Adventure Family TV Movie Western
Yaniv Raz,Lucas Jade Zumann,Taylor Russell,Chase Stokes,Comedy Drama,dr. bird's advice for sad poets,Lucas Jade Zumann Taylor Russell Chase Stokes Yaniv Raz Comedy Drama
Ramin Bahrani,Adarsh Gourav,Rajkummar Rao,Priyanka Chopra Jonas,Drama,the white tiger,Adarsh Gourav Rajkummar Rao Priyanka Chopra Jonas Ramin Bahrani Drama
Doug Liman,Anne Hathaway,Chiwetel Ejiofor,Stephen Merchant,Comedy Crime Romance,locked down,Anne Hathaway Chiwetel Ejiofor Stephen Merchant Doug Liman Comedy Crime Romance
Simon Stone,Carey Mulligan,Ralph Fiennes,Lily James,Drama History,the dig,Carey Mulligan Ralph Fiennes Lily James Simon Stone Drama History
Mikael Håfström,Anthony Mackie,Damson Idris,Emily Beecham,Thriller Action Science Fiction,outside the wire,Anthony Mackie Damson Idris Emily Beecham Mikael Håfström Thriller Action Science Fiction
Robert Lorenz,Liam Neeson,Katheryn Winnick,Juan Pablo Raba,Action Drama Thriller,the marksman,Liam Neeson Katheryn Winnick Juan Pablo Raba Robert Lorenz Action Drama Thriller
Bennett Lasseter,Keean Johnson,Madeline Brewer,Rya Kihlstedt,Drama Music,the ultimate playlist of noise,Keean Johnson Madeline Brewer Rya Kihlstedt Bennett Lasseter Drama Music
Nate Parker,Nate Parker,Omari Hardwick,Theo Rossi,Crime Drama,american skin,Nate Parker Omari Hardwick Theo Rossi Nate Parker Crime Drama
Alex McAulay,Jack Dylan Grazer,Fionn Whitehead,Rainn Wilson,Crime,don't tell a soul,Jack Dylan Grazer Fionn Whitehead Rainn Wilson Alex McAulay Crime
Gabriela Cowperthwaite,Jason Segel,Dakota Johnson,Casey Affleck,Drama Romance,our friend,Jason Segel Dakota Johnson Casey Affleck Gabriela Cowperthwaite Drama Romance
Conor Allyn,Jake Allyn,Frank Grillo,Jorge A. Jiménez,Action Drama Crime,no man's land,Jake Allyn Frank Grillo Jorge A. Jiménez Conor Allyn Action Drama Crime
Alex Ranarivelo,Sean Patrick Flanery,Dennis Quaid,Katrina Bowden,Action Drama,born a champion,Sean Patrick Flanery Dennis Quaid Katrina Bowden Alex Ranarivelo Action Drama
Mike P. Nelson,Charlotte Vega,Adain Bradley,Bill Sage,Horror Thriller,wrong turn,Charlotte Vega Adain Bradley Bill Sage Mike P. Nelson Horror Thriller
Glenda Ivin,Naomi Watts,Andrew Lincoln,Jacki Weaver,Drama,penguin bloom,Naomi Watts Andrew Lincoln Jacki Weaver Glenda Ivin Drama
John Lee Hancock,Denzel Washington,Rami Malek,Jared Leto,Drama Crime Thriller,the little things,Denzel Washington Rami Malek Jared Leto John Lee Hancock Drama Crime Thriller
Jude Weng,Kea Peahu,Alex Aiono,Lindsay Watson,Adventure Action Comedy Family,finding ʻohana,Kea Peahu Alex Aiono Lindsay Watson Jude Weng Adventure Action Comedy Family
Chloé Zhao,Frances McDormand,David Strathairn,Linda May,Drama,nomadland,Frances McDormand David Strathairn Linda May Chloé Zhao Drama
Sam Levinson,Zendaya,John David Washington,unknown,Drama Romance,malcolm & marie,Zendaya John David Washington unknown Sam Levinson Drama Romance
Fisher Stevens,Justin Timberlake,Juno Temple,Alisha Wainwright,Drama,palmer,Justin Timberlake Juno Temple Alisha Wainwright Fisher Stevens Drama
Viggo Mortensen,Viggo Mortensen,Lance Henriksen,Terry Chen,Drama,falling,Viggo Mortensen Lance Henriksen Terry Chen Viggo Mortensen Drama
Mike Cahill,Owen Wilson,Salma Hayek,unknown,Science Fiction Romance Drama,bliss,Owen Wilson Salma Hayek unknown Mike Cahill Science Fiction Romance Drama
Chad Hartigan,Olivia Cooke,Jack O'Connell,Raúl Castillo,Romance Science Fiction Drama,little fish,Olivia Cooke Jack O'Connell Raúl Castillo Chad Hartigan Romance Science Fiction Drama
Barry Alexander Brown,Lucas Till,Lucy Hale,Cedric the Entertainer,History Drama,son of the south,Lucas Till Lucy Hale Cedric the Entertainer Barry Alexander Brown History Drama
Ben Hozie,Julia Fox,Nikki Belfiglio,Austin Brown,Drama,pvt chat,Julia Fox Nikki Belfiglio Austin Brown Ben Hozie Drama
Sia,Kate Hudson,Leslie Odom Jr.,Maddie Ziegler,Music Drama,music,Kate Hudson Leslie Odom Jr. Maddie Ziegler Sia Music Drama
Shaka King,Daniel Kaluuya,Lakeith Stanfield,Jesse Plemons,Drama History,judas and the black messiah,Daniel Kaluuya Lakeith Stanfield Jesse Plemons Shaka King Drama History
Kevin Macdonald,Jodie Foster,Tahar Rahim,Shailene Woodley,Drama Thriller,the mauritanian,Jodie Foster Tahar Rahim Shailene Woodley Kevin Macdonald Drama Thriller
Tate Taylor,Allison Janney,Mila Kunis,Awkwafina,Comedy Drama Crime,breaking news in yuba county,Allison Janney Mila Kunis Awkwafina Tate Taylor Comedy Drama Crime
Josh Greenbaum,Kristen Wiig,Annie Mumolo,Jamie Dornan,Comedy,barb and star go to vista del mar,Kristen Wiig Annie Mumolo Jamie Dornan Josh Greenbaum Comedy
Lee Isaac Chung,Steven Yeun,Han Ye-ri,Alan Kim,Drama,minari,Steven Yeun Han Ye-ri Alan Kim Lee Isaac Chung Drama
Michael Fimognari,Lana Condor,Noah Centineo,Jordan Fisher,Romance Comedy Drama,to all the boys: always and forever,Lana Condor Noah Centineo Jordan Fisher Michael Fimognari Romance Comedy Drama
Mona Fastvold,Katherine Waterston,Vanessa Kirby,Christopher Abbott,Romance Drama Western,the world to come,Katherine Waterston Vanessa Kirby Christopher Abbott Mona Fastvold Romance Drama Western
Azazel Jacobs,Michelle Pfeiffer,Lucas Hedges,Tracy Letts,Comedy Drama,french exit,Michelle Pfeiffer Lucas Hedges Tracy Letts Azazel Jacobs Comedy Drama
Robin Wright,Robin Wright,Demián Bichir,Kim Dickens,Drama,land,Robin Wright Demián Bichir Kim Dickens Robin Wright Drama
Kevin Lewis,Nicolas Cage,Emily Tosta,Ric Reitz,Action Horror Comedy,willy's wonderland,Nicolas Cage Emily Tosta Ric Reitz Kevin Lewis Action Horror Comedy
Ian Samuels,Kathryn Newton,Kyle Allen,Al Madrigal,Fantasy Romance,the map of tiny perfect things,Kathryn Newton Kyle Allen Al Madrigal Ian Samuels Fantasy Romance
Castille Landon,Katherine Heigl,Madison Iseman,Israel Broussard,Thriller Horror Drama,fear of rain,Katherine Heigl Madison Iseman Israel Broussard Castille Landon Thriller Horror Drama
J Blakeson,Rosamund Pike,Peter Dinklage,Eiza González,Comedy Crime Thriller Drama,i care a lot,Rosamund Pike Peter Dinklage Eiza González J Blakeson Comedy Crime Thriller Drama
Lena Khan,Matilda Lawler,Alyson Hannigan,Ben Schwartz,Family Adventure Comedy Fantasy,flora & ulysses,Matilda Lawler Alyson Hannigan Ben Schwartz Lena Khan Family Adventure Comedy Fantasy
Tiller Russell,Jason Clarke,Nick Robinson,Katie Aselton,Crime Thriller,silk road,Jason Clarke Nick Robinson Katie Aselton Tiller Russell Crime Thriller
Tim Story,Chloë Grace Moretz,Michael Peña,Colin Jost,Comedy Family Animation,tom & jerry,Chloë Grace Moretz Michael Peña Colin Jost Tim Story Comedy Family Animation
Lee Daniels,Andra Day,Trevante Rhodes,Garrett Hedlund,Music Drama History,the united states vs. billie holiday,Andra Day Trevante Rhodes Garrett Hedlund Lee Daniels Music Drama History
Anthony and Joe Russo,Tom Holland,Ciara Bravo,Jack Reynor,Drama Crime,cherry,Tom Holland Ciara Bravo Jack Reynor Anthony and Joe Russo Drama Crime
Nicholas Jarecki,Gary Oldman,Armie Hammer,Evangeline Lilly,Thriller Crime Drama,crisis,Gary Oldman Armie Hammer Evangeline Lilly Nicholas Jarecki Thriller Crime Drama
R. J. Cutler,Billie Eilish,Finneas O'Connell,Maggie Baird,Documentary Music,billie eilish: the world's a little blurry,Billie Eilish Finneas O'Connell Maggie Baird R. J. Cutler Documentary Music
Keith Thomas,Dave Davis,Menashe Lustig,Malky Goldman,Horror Thriller Mystery,the vigil,Dave Davis Menashe Lustig Malky Goldman Keith Thomas Horror Thriller Mystery
Amy Poehler,Hadley Robinson,Lauren Tsai,Patrick Schwarzenegger,Comedy Drama Music,moxie,Hadley Robinson Lauren Tsai Patrick Schwarzenegger Amy Poehler Comedy Drama Music
Craig Brewer,Eddie Murphy,Arsenio Hall,Jermaine Fowler,Comedy,coming 2 america,Eddie Murphy Arsenio Hall Jermaine Fowler Craig Brewer Comedy
Tim Hill,Tom Kenny,Awkwafina,Matt Berry,Family Animation Fantasy Adventure Comedy,the spongebob movie: sponge on the run,Tom Kenny Awkwafina Matt Berry Tim Hill Family Animation Fantasy Adventure Comedy
"Don Hall, Carlos López Estrada",Kelly Marie Tran,Awkwafina,Izaac Wang,Animation Family Fantasy Action Adventure,raya and the last dragon,"Kelly Marie Tran Awkwafina Izaac Wang Don Hall, Carlos López Estrada Animation Family Fantasy Action Adventure"
Doug Liman,Daisy Ridley,Tom Holland,Mads Mikkelsen,Fantasy Science Fiction Adventure,chaos walking,Daisy Ridley Tom Holland Mads Mikkelsen Doug Liman Fantasy Science Fiction Adventure
Joe Carnahan,Frank Grillo,Mel Gibson,Naomi Watts,Action Science Fiction Thriller,boss level,Frank Grillo Mel Gibson Naomi Watts Joe Carnahan Action Science Fiction Thriller
Eddie Huang,Taylor Takahashi,Taylour Paige,Jorge Lendeborg Jr.,Drama,boogie,Taylor Takahashi Taylour Paige Jorge Lendeborg Jr. Eddie Huang Drama
Miguel Arteta,Jennifer Garner,Édgar Ramírez,Jenna Ortega,Family Comedy,yes day,Jennifer Garner Édgar Ramírez Jenna Ortega Miguel Arteta Family Comedy
Steve Basilone,Finn Wittrock,Zoë Chao,Casey Wilson,Horror Mystery Thriller,long weekend,Finn Wittrock Zoë Chao Casey Wilson Steve Basilone Horror Mystery Thriller
Edward Drake,Bruce Willis,Frank Grillo,Brandon Thomas Lee,Action Adventure Science Fiction,cosmic sin,Bruce Willis Frank Grillo Brandon Thomas Lee Edward Drake Action Adventure Science Fiction
Brian DeCubellis,Victoria Justice,Matthew Daddario,Katherine McNamara,Crime Drama Thriller,trust,Victoria Justice Matthew Daddario Katherine McNamara Brian DeCubellis Crime Drama Thriller
Zack Snyder,Ben Affleck,Henry Cavill,Amy Adams,Action Adventure Fantasy,zack snyder's justice league,Ben Affleck Henry Cavill Amy Adams Zack Snyder Action Adventure Fantasy
Dominic Cooke,Benedict Cumberbatch,Merab Ninidze,Rachel Brosnahan,Thriller History Drama,the courier,Benedict Cumberbatch Merab Ninidze Rachel Brosnahan Dominic Cooke Thriller History Drama
Brad Furman,Johnny Depp,Forest Whitaker,unknown,Crime Thriller Drama,city of lies,Johnny Depp Forest Whitaker unknown Brad Furman Crime Thriller Drama
BenDavid Grabinski,Joel McHale,Kerry Bishé,Stephen Root,Comedy Romance Science Fiction Thriller,happily,Joel McHale Kerry Bishé Stephen Root BenDavid Grabinski Comedy Romance Science Fiction Thriller
Ilya Naishuller,Bob Odenkirk,Connie Nielsen,Aleksei Serebryakov,Action Thriller,nobody,Bob Odenkirk Connie Nielsen Aleksei Serebryakov Ilya Naishuller Action Thriller
Kitao Sakurai,Eric André,Lil Rel Howery,Tiffany Haddish,Comedy,bad trip,Eric André Lil Rel Howery Tiffany Haddish Kitao Sakurai Comedy
Justin P. Lange,Guy Pearce,Vadhir Derbez,Stephen Lang,Horror,the seventh day,Guy Pearce Vadhir Derbez Stephen Lang Justin P. Lange Horror
Giorgio Serafini,William Shatner,Jean Smart,Christopher Lloyd,Comedy Romance,senior moment,William Shatner Jean Smart Christopher Lloyd Giorgio Serafini Comedy Romance
Mikey Alfred,Ryder McLaughlin,Vince Vaughn,Miranda Cosgrove,Comedy Drama,north hollywood,Ryder McLaughlin Vince Vaughn Miranda Cosgrove Mikey Alfred Comedy Drama
Adam Wingard,Alexander Skarsgård,Millie Bobby Brown,Rebecca Hall,Action Science Fiction Adventure,godzilla vs. kong,Alexander Skarsgård Millie Bobby Brown Rebecca Hall Adam Wingard Action Science Fiction Adventure
Ricky Staub,Idris Elba,Caleb McLaughlin,Jharrel Jerome,Drama Western,concrete cowboy,Idris Elba Caleb McLaughlin Jharrel Jerome Ricky Staub Drama Western
